endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/runtime/metadata,,0,200,1175.83,780201,986728,7965232,8951960,7964712,8779048,1758664494333
/runtime/metadata,,1,200,877.10,780201,946816,7976416,8923232,7975896,8782880,1758664495735
/runtime/metadata,,2,200,302.36,780201,943888,7980520,8924408,7980000,8785176,1758664496565
/runtime/metadata,?at=27898747,0,200,890.21,780201,943200,7982256,8925456,7981736,8797136,1758664499504
/runtime/metadata,?at=27898747,1,200,306.60,780201,941032,7994080,8935112,7993560,8797784,1758664500340
/runtime/metadata,?at=27898747,2,200,321.42,780201,941088,7995448,8936536,7994928,8799152,1758664501186
/runtime/metadata,?at=27897747,0,200,912.45,780201,941304,7995848,8937152,7995328,8801776,1758664504143
/runtime/metadata,?at=27897747,1,200,312.14,780201,941032,7998184,8939216,7997664,8801888,1758664504979
/runtime/metadata,?at=27897747,2,200,311.60,780201,941088,7999552,8940640,7999032,8803256,1758664505813
/runtime/metadata,?at=27888747,0,200,1030.12,780201,942928,7999952,8942880,7999432,8806104,1758664508892
/runtime/metadata,?at=27888747,1,200,300.73,780201,942920,8003696,8946616,8003176,8809856,1758664509715
/runtime/metadata,?at=27888747,2,200,310.10,780201,941088,8006384,8947472,8005864,8810088,1758664510554